n_run;individual_gains
1;[89.8000000000001, 81.40000000000018, 76.00000000000023, 81.40000000000018, 89.8000000000001]
10;[83.80000000000015, 88.00000000000011, -70.0, 83.80000000000015, 83.80000000000015]
2;[40.000000000000284, 81.40000000000018, 40.000000000000284, 40.000000000000284, 87.40000000000012]
3;[88.00000000000011, 29.80000000000026, 68.8000000000003, 29.80000000000026, 88.00000000000011]
4;[86.80000000000013, 86.80000000000013, 86.80000000000013, 27.400000000000254, 69.40000000000029]
5;[92.20000000000007, 92.20000000000007, 92.20000000000007, 92.20000000000007, 92.20000000000007]
6;[89.2000000000001, 89.2000000000001, 89.2000000000001, 89.2000000000001, 89.2000000000001]
7;[70.00000000000028, 70.00000000000028, 81.40000000000018, 70.00000000000028, 70.00000000000028]
8;[-50.0, -50.0, 80.80000000000018, 89.2000000000001, 89.2000000000001]
9;[-50.0, 71.20000000000027, 71.20000000000027, 71.20000000000027, 90.40000000000009]
