n_gen;max_fitness;avg_fitness;best_individual_gain
0;91.62324619773175;30.505350607202725;73.00000000000026
1;93.6418853407695;28.761726509445044;89.2000000000001
2;93.38855887687;33.21420989156021;91.60000000000008
3;93.24250462797224;39.66443992786256;85.00000000000014
4;92.29642065638157;40.770949381500714;82.60000000000016
5;93.15288973525114;46.368845863053394;88.60000000000011
6;92.5996882233926;38.16040681818026;83.20000000000016
7;93.61873645484158;45.39295195294314;91.60000000000008
8;92.96465396891132;51.930271963615006;90.40000000000009
9;93.49315225241281;46.565022790212836;92.20000000000007
10;93.39455310235677;51.361531466181134;90.40000000000009
11;92.99606371931282;47.517035587847694;89.8000000000001
12;94.1110257618388;48.2779704244579;97.60000000000002
13;94.04835578817422;49.62035504071513;99.4
14;94.24326625757944;40.4803650506248;92.20000000000007
15;92.13955642660933;42.976732536670845;78.4000000000002
16;94.01326262833369;41.56208324203064;94.60000000000005
17;93.64013357217581;38.05391791137128;87.40000000000012
18;94.46480267679885;33.564715214002355;93.40000000000006
19;93.73703951986406;45.66339524684378;94.00000000000006
20;93.52657125383503;36.13177263234466;90.40000000000009
21;94.46200618758324;36.88020872082203;95.80000000000004
22;93.77250552318657;29.382924443110873;89.2000000000001
23;93.34956207860758;25.681025440357164;83.80000000000015
24;93.2846788846423;23.112335571655642;87.40000000000012
