n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;90.17242458513279;89.79605369405454;92.34772657195336;0.45130178251082614;1.003159690016776;0.023377929581304604;"{'weights_and_biases': array([ 1.3756769 , -0.24062091,  0.15570348, ..., -0.84781755,
        0.62066032, -0.47154984]), 'mut_step_size': 1.0, 'fitness': 92.34772657195336, 'individual_gain': 76}"
1;90.4789897811709;89.79605369405454;92.51240366476762;0.696428200105052;1.0033054363541192;0.050302555179160505;"{'weights_and_biases': array([ 1.3756769 , -0.24062091,  0.15570348, ..., -0.84781755,
        0.62066032, -0.47154984]), 'mut_step_size': 1.0, 'fitness': 92.34772657195336, 'individual_gain': 76}"
2;91.03205239709885;90.12482618476618;92.57611947915372;0.8768055910480955;0.9935580043953617;0.06809985377740962;"{'weights_and_biases': array([-1.11995578, -0.21965245, -0.8226633 , ...,  1.57893066,
       -2.3108314 , -0.85662508]), 'mut_step_size': 0.8800378727148526, 'fitness': 92.25873645484157, 'individual_gain': 78}"
3;91.97966880238518;90.80278772623588;92.76956207860756;0.49943461269458467;0.9582063806112348;0.11481663272542661;"{'weights_and_biases': array([-1.63779191,  4.25968499, -2.14849039, ..., -1.08541094,
       -2.03514056, -4.58393851]), 'mut_step_size': 0.944896517468132, 'fitness': 92.60704314910978, 'individual_gain': 78}"
4;92.22417730163332;91.60150296873417;92.76956207860756;0.3342003290814308;1.0274092126860594;0.11783033318996083;"{'weights_and_biases': array([-1.63779191,  4.25968499, -2.14849039, ..., -1.08541094,
       -2.03514056, -4.58393851]), 'mut_step_size': 0.944896517468132, 'fitness': 92.60704314910978, 'individual_gain': 78}"
5;92.01807414617097;91.40956741322127;93.27274631484279;0.4065597545749113;1.0436344154132726;0.11968006879918075;"{'weights_and_biases': array([  5.6778957 , -10.1542729 ,   7.40446112, ...,  -2.77227669,
        10.04861316,   4.25797156]), 'mut_step_size': 1.1566576175222747, 'fitness': 93.27274631484279, 'individual_gain': 82}"
6;92.18392477385883;91.60150296873417;93.45766574803518;0.40570027784135293;1.088882178207124;0.17278727166074126;"{'weights_and_biases': array([ 7.10841439, -6.3718682 , 10.56331299, ...,  2.03703302,
        9.00454492,  4.77517743]), 'mut_step_size': 0.8722469997418194, 'fitness': 93.45766574803518, 'individual_gain': 88}"
7;92.44645843197259;91.77964417492167;93.68001907417187;0.4170714950483173;1.1009755948338429;0.23368325026099107;"{'weights_and_biases': array([ 7.10841439, -6.3718682 , 10.56331299, ...,  2.03703302,
        9.00454492,  4.77517743]), 'mut_step_size': 0.8722469997418194, 'fitness': 93.45766574803518, 'individual_gain': 88}"
8;92.56846601240308;91.92482618476618;93.68001907417187;0.3924348842997064;1.1722772526200853;0.2508816279310604;"{'weights_and_biases': array([ 5.18718818, -5.59454315,  5.51031117, ..., -3.33686522,
        6.8670664 , -0.88170148]), 'mut_step_size': 1.2049486782127055, 'fitness': 93.68001907417187, 'individual_gain': 86}"
9;92.58302486640477;92.13740496697304;93.64341372532799;0.39300234333231204;1.1684186893255175;0.23506788755692115;"{'weights_and_biases': array([ 8.16252516, -7.59384046, 10.62938749, ...,  0.51085634,
        9.69226764,  5.6051965 ]), 'mut_step_size': 0.8425970316899909, 'fitness': 93.64341372532799, 'individual_gain': 90}"
