n_gen;max_fitness;avg_fitness;best_individual_gain
0;48.00853545289202;4.302352004799707;-40.0
1;57.013547994715566;5.155660665264969;-30.0
2;90.28853266049732;7.896227633824043;64
3;90.28853266049732;9.623067151203115;64
4;48.427845967822236;10.04349282953857;-40.0
5;48.38687189361193;9.35073492965028;-40.0
6;84.37991706964765;12.567007131746497;2
7;84.22619038813075;13.67130211851167;2
8;84.22619038813075;14.730826130008657;2
9;66.01354799471557;14.754088004716682;-20.0
10;84.37991706964765;15.198566521076492;2
11;84.22619038813075;15.072556199530025;2
12;66.20090734553948;14.517788395984635;-20.0
13;66.20090734553948;13.277504202029832;-20.0
14;66.40157804100163;11.833276307891426;-20.0
15;66.40157804100163;9.948937234884138;-20.0
16;66.36878821817864;11.356612858383121;-20.0
17;66.47057091248858;7.86872681164919;-20.0
18;74.7994908259573;7.819376104037236;-10.0
19;74.7994908259573;9.752335117679074;-10.0
20;75.16811752271649;7.665480472710191;-10.0
21;75.40157804100163;9.488219066202431;-10.0
22;75.40157804100163;8.148814702008917;-10.0
23;75.39052820481504;7.881163975308375;-10.0
24;75.40157804100163;9.208676669285198;-10.0
