n_run;individual_gains
1;[77.80000000000021, 79.6000000000002, 59.80000000000033, 70.00000000000028, 89.2000000000001]
10;[85.00000000000014, 70.60000000000028, 67.6000000000003, 84.40000000000015, 85.60000000000014]
11;[82.60000000000016, 75.40000000000023, 86.20000000000013, 81.40000000000018, 79.6000000000002]
2;[74.20000000000024, 74.20000000000024, 80.20000000000019, 84.40000000000015, 71.80000000000027]
3;[73.60000000000025, 65.80000000000032, 1.4000000000003112, 71.20000000000027, 79.6000000000002]
4;[71.20000000000027, 73.00000000000026, 67.00000000000031, 71.20000000000027, 67.00000000000031]
5;[93.40000000000006, 91.60000000000008, 54.40000000000032, 84.40000000000015, 81.40000000000018]
6;[86.80000000000013, 78.4000000000002, 68.8000000000003, 64.00000000000034, 73.00000000000026]
7;[16.60000000000023, 81.40000000000018, 28.000000000000256, 86.20000000000013, 89.2000000000001]
8;[79.0000000000002, 65.80000000000032, 87.40000000000012, 61.600000000000335, 83.20000000000016]
9;[-10.0, 9.400000000000283, 79.6000000000002, 5.400000000000228, 55.60000000000032]
