n_gen;max_fitness;avg_fitness;best_individual_gain
0;47.746171188424526;3.359473609741893;-40.0
1;48.19486503108351;3.068695998301377;-40.0
2;66.42027017401378;5.759963794971862;-20.0
3;66.42027017401378;7.436388615124585;-20.0
4;66.42027017401378;9.840405061291568;-20.0
5;66.03385326087631;10.347625171364273;-20.0
6;66.20090734553948;12.018934232160445;-20.0
7;57.375982493812664;11.029283979161228;-30.0
8;85.21791509328338;12.76457699653196;14
9;57.3978811791203;13.297939622873772;-30.0
10;66.20090734553948;13.967778948953136;-20.0
11;85.21791509328338;14.865435051290065;14
12;57.37959913428285;15.611553124370822;-30.0
13;85.21791509328338;13.492038201243226;14
14;57.04935744741228;12.985325055281086;-30.0
15;74.77148899640882;10.637484333110889;-10.0
16;74.77148899640882;9.794046979165477;-10.0
17;57.168117522716486;9.875252187327046;-30.0
18;74.77148899640882;11.656118315031364;-10.0
19;74.77148899640882;8.965822041149538;-10.0
20;74.77148899640882;9.691426157210497;-10.0
21;47.621573816348416;7.203353919418068;-40.0
22;57.42027017401378;7.7202088615156;-30.0
23;75.20090734553948;8.956310834573033;-10.0
24;57.427845967822236;8.693013619990323;-30.0
