

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

RUN: run status: enemy: 5; fitness: 92.7238995977956; player life: 81.40000000000018; enemy life: 0; time: 225

RUN: run status: enemy: 5; fitness: 87.97463815194546; player life: 38.80000000000028; enemy life: 0; time: 367

RUN: run status: enemy: 5; fitness: 87.60074472933634; player life: 43.60000000000029; enemy life: 0; time: 862

RUN: run status: enemy: 5; fitness: 16.052244721017892; player life: 49.60000000000031; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 90.62957298262516; player life: 63.40000000000034; enemy life: 0; time: 302

RUN: run status: enemy: 5; fitness: -6.135564891081739; player life: 0; enemy life: 100; time: 462

RUN: run status: enemy: 5; fitness: -6.580639137284949; player life: 0; enemy life: 100; time: 721

RUN: run status: enemy: 5; fitness: 57.39224472101789; player life: 13.00000000000023; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.336825731146441; player life: 0; enemy life: 100; time: 565

RUN: run status: enemy: 5; fitness: -6.180016653652572; player life: 0; enemy life: 100; time: 483

RUN: run status: enemy: 5; fitness: -6.866933284461882; player life: 0; enemy life: 100; time: 960

RUN: run status: enemy: 5; fitness: -2.727755278982108; player life: 41.80000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 57.4165036912183; player life: 0; enemy life: 30.0; time: 266

RUN: run status: enemy: 5; fitness: 89.45353194306674; player life: 53.200000000000315; enemy life: 0; time: 353

RUN: run status: enemy: 5; fitness: 1.4122447210178795; player life: 83.20000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.784457062637643; player life: 0; enemy life: 100; time: 884

RUN: run status: enemy: 5; fitness: 89.52423107801577; player life: 62.80000000000034; enemy life: 0; time: 859

RUN: run status: enemy: 5; fitness: 1.172244721017881; player life: 80.80000000000018; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 89.92969895180335; player life: 65.20000000000033; enemy life: 0; time: 728

RUN: run status: enemy: 5; fitness: -4.3477552789821114; player life: 25.60000000000025; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -0.9877552789821031; player life: 59.20000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -5.607755278982114; player life: 13.00000000000023; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 56.49224472101788; player life: 4.0000000000002345; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: 57.93224472101788; player life: 18.400000000000233; enemy life: 30.0; time: 1000

RUN: run status: enemy: 5; fitness: -6.837332814685591; player life: 0; enemy life: 100; time: 932

RUN: run status: enemy: 5; fitness: 0.6322447210178872; player life: 75.40000000000023; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 90.32835578817425; player life: 62.20000000000034; enemy life: 0; time: 362

RUN: run status: enemy: 5; fitness: -1.3477552789821043; player life: 55.60000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.3818160174060985; player life: 0; enemy life: 100; time: 591

RUN: run status: enemy: 5; fitness: 2.843021014414445; player life: 0; enemy life: 90.0; time: 472

RUN: run status: enemy: 5; fitness: -1.7677552789821052; player life: 51.40000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -3.50775527898211; player life: 34.00000000000027; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 6.932244721017895; player life: 48.400000000000304; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: 29.86443510891826; player life: 0; enemy life: 60.0; time: 462

RUN: run status: enemy: 5; fitness: 86.12443510891828; player life: 22.600000000000243; enemy life: 0; time: 462

RUN: run status: enemy: 5; fitness: 88.63367074233113; player life: 47.8000000000003; enemy life: 0; time: 467

RUN: run status: enemy: 5; fitness: 87.22704379932296; player life: 39.40000000000028; enemy life: 0; time: 823

RUN: run status: enemy: 5; fitness: 1.1122447210178823; player life: 80.20000000000019; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -0.8077552789821034; player life: 61.000000000000334; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -3.1477552789821086; player life: 37.60000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 24.392244721017892; player life: 43.00000000000029; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: 36.692244721017886; player life: 76.00000000000023; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: -4.3477552789821114; player life: 25.60000000000025; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -4.407755278982112; player life: 25.00000000000025; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 91.87052820481506; player life: 74.80000000000024; enemy life: 0; time: 273

RUN: run status: enemy: 5; fitness: 20.783393898915136; player life: 0; enemy life: 70.0; time: 501

RUN: run status: enemy: 5; fitness: 85.7042199857577; player life: 24.400000000000247; enemy life: 0; time: 842

RUN: run status: enemy: 5; fitness: -0.5677552789821023; player life: 63.40000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 83.793724713052; player life: 1.000000000000234; enemy life: 0; time: 548

RUN: run status: enemy: 5; fitness: 2.8536707423311025; player life: 0; enemy life: 90.0; time: 467

RUN: run status: enemy: 5; fitness: 87.44660195700338; player life: 35.800000000000274; enemy life: 0; time: 461

RUN: run status: enemy: 5; fitness: -3.0277552789821085; player life: 38.80000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -1.4677552789821044; player life: 54.40000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 47.50171785052357; player life: 0; enemy life: 40.0; time: 664

RUN: run status: enemy: 5; fitness: 87.38224835026362; player life: 38.20000000000028; enemy life: 0; time: 625

RUN: run status: enemy: 5; fitness: -1.3477552789821043; player life: 55.60000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.833031732786201; player life: 0; enemy life: 100; time: 928

RUN: run status: enemy: 5; fitness: 1.5322447210178787; player life: 84.40000000000015; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -1.7677552789821052; player life: 51.40000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 20.657878581278847; player life: 0; enemy life: 70.0; time: 568

RUN: run status: enemy: 5; fitness: 1.1122447210178823; player life: 80.20000000000019; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -6.541029999189903; player life: 0; enemy life: 100; time: 693

RUN: run status: enemy: 5; fitness: 74.49272228761498; player life: 0; enemy life: 10.0; time: 670

RUN: run status: enemy: 5; fitness: 1.5922447210178774; player life: 85.00000000000014; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 14.792244721017891; player life: 37.00000000000028; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 2.73469878726229; player life: 0; enemy life: 90.0; time: 526

RUN: run status: enemy: 5; fitness: 2.4897416594768504; player life: 0; enemy life: 90.0; time: 672

RUN: run status: enemy: 5; fitness: 89.9222642182204; player life: 58.00000000000033; enemy life: 0; time: 357

RUN: run status: enemy: 5; fitness: 38.40558654025022; player life: 0; enemy life: 50.0; time: 731

RUN: run status: enemy: 5; fitness: 12.142066845516542; player life: 0; enemy life: 80.0; time: 350

RUN: run status: enemy: 5; fitness: 2.137242086948599; player life: 0; enemy life: 90.0; time: 956

RUN: run status: enemy: 5; fitness: 74.27017592951053; player life: 0; enemy life: 10.0; time: 837

RUN: run status: enemy: 5; fitness: -3.4477552789821093; player life: 34.60000000000027; enemy life: 100; time: 1000

